ID,PAMPA,permeable,MolWt,embedding_x,embedding_y,kmedoids_cluster,hdbscan_cluster
48,-6.25,0,1326.649,3.7548869,1.844637,5,0
49,-4.96,1,1348.74,5.366803,1.8481603,1,0
50,-4.89,1,1306.659,4.04889,1.9540663,5,0
51,-5.0,1,1382.757,3.8984227,1.1954423,5,0
52,-4.89,1,1382.757,5.35511,1.3801367,1,0
53,-4.52,1,1297.651,3.063488,0.2694281,5,0
54,-4.42,1,1226.572,4.0886683,1.4973153,5,0
55,-4.52,1,1214.561,5.1670556,4.3317156,2,0
56,-4.51,1,1311.678,2.8484845,4.1273084,2,0
57,-4.92,1,1370.746,3.9091978,3.2163951,2,0
58,-4.57,1,1196.543,3.7591684,5.2506905,2,0
59,-4.51,1,1111.437,4.258729,2.2613509,5,0
60,-4.8,1,1069.356,6.9346857,3.735158,3,-1
61,-4.8,1,1083.383,4.084785,2.6765099,3,0
62,-5.24,1,1453.836,3.3051803,1.5209199,5,0
63,-4.96,1,1453.836,2.8507023,0.53192955,3,0
64,-4.7,1,1297.651,3.6754098,1.3180848,5,0
65,-4.3,1,1385.801,2.6717396,1.9562243,5,0
66,-4.48,1,1327.721,3.7193477,0.84359765,3,0
67,-4.74,1,1413.855,4.786955,4.0368376,2,0
68,-4.46,1,1244.587,5.1429653,0.9767739,1,0
69,-4.47,1,1228.588,2.1714432,4.926792,2,0
70,-4.64,1,1089.346,5.597508,1.4496602,1,0
71,-4.52,1,1384.773,3.5908632,0.86855084,5,0
72,-4.82,1,1382.757,4.3535295,3.2592242,5,0
73,-4.68,1,1426.81,3.260333,1.7304718,5,0
74,-4.52,1,1410.811,2.9246168,5.44809,2,0
75,-4.59,1,1412.783,5.017096,1.1225841,1,0
76,-4.7,1,1396.784,2.7437222,2.2002177,3,0
77,-4.68,1,1370.746,5.8548303,2.0710526,1,0
78,-4.38,1,1111.437,4.0095067,3.9190657,3,0
79,-4.72,1,1398.8,5.766281,1.1594821,1,0
80,-4.48,1,1412.783,3.3427827,0.7885368,5,0
81,-4.77,1,1484.934,1.848985,2.0589535,3,0
82,-4.62,1,1384.773,2.153299,2.0336015,3,0
83,-4.85,1,1283.624,4.9772296,3.8304682,3,0
84,-4.72,1,1311.678,3.6052501,1.965144,5,0
85,-4.64,1,1297.651,4.164514,1.6110948,5,0
86,-4.59,1,1313.694,5.7435603,1.2414689,1,0
87,-4.68,1,1399.828,1.6045547,2.6239917,5,0
88,-4.4,1,1341.748,1.7443749,2.14338,5,0
89,-5.27,1,1096.382,3.726749,2.5712857,3,0
90,-4.57,1,1228.588,3.294484,5.3150163,2,0
91,-5.27,1,1110.409,2.9024987,5.3515553,2,0
92,-4.54,1,1214.561,3.601735,1.9043024,5,0
93,-5.48,1,1096.382,5.5847435,2.9524016,3,0
94,-4.8,1,1196.543,4.066088,2.4209168,5,0
95,-4.68,1,1111.437,5.740486,1.5329598,1,0
96,-4.42,1,1101.401,6.0196986,1.6595079,1,0
97,-4.55,1,1103.373,3.8120399,5.3776245,2,0
98,-4.92,1,1103.373,2.5109012,4.5692306,3,0
99,-4.6,1,1125.464,3.719107,5.4496107,2,0
100,-4.89,1,1398.756,3.1582487,3.4914348,5,0
101,-4.64,1,1398.8,2.8053606,3.3283362,5,0
102,-5.04,1,1484.934,2.7301576,4.2442803,2,0
103,-4.7,1,1396.784,2.0787885,0.50939614,3,0
104,-4.59,1,1484.934,2.2944338,5.275917,2,0
105,-4.66,1,1370.746,4.306179,1.3263881,5,0
106,-4.55,1,1398.8,5.4478374,1.1721755,1,0
107,-5.14,1,1209.542,5.5982738,2.9245887,3,0
108,-4.89,1,1399.828,1.4592894,4.169895,2,0
109,-4.57,1,1313.694,5.7345366,1.1293131,1,0
110,-4.59,1,1299.667,5.2869973,2.8144085,3,0
111,-4.25,1,1341.748,2.8458602,0.680942,5,0
112,-5.77,1,1413.855,2.5962691,3.9356303,2,0
113,-4.25,1,1327.721,2.782496,5.288936,2,0
114,-5.74,1,1223.569,2.4533439,4.468522,2,0
115,-4.72,1,1413.855,3.886371,4.3635974,2,0
116,-5.17,1,1383.829,2.6681628,2.299867,5,0
117,-4.35,1,1327.721,3.899874,3.1113136,5,0
118,-4.47,1,1297.651,3.0544846,3.5234313,5,0
119,-4.64,1,1426.81,5.0901484,4.4418797,2,0
120,-4.66,1,1384.773,2.5901225,1.548277,5,0
121,-4.52,1,1410.811,2.0615754,4.0253725,3,0
122,-4.52,1,1371.774,2.8127117,4.8719754,2,0
123,-4.92,1,1223.569,3.82169,2.2433515,5,0
124,-4.46,1,1279.677,2.558092,1.5763936,5,0
125,-4.55,1,1325.705,2.6435945,2.5389993,5,0
126,-4.36,1,1427.882,3.4243948,4.8221884,2,0
127,-6.35,0,1262.605,3.361023,2.3264105,5,0
128,-4.64,1,1234.551,3.3601987,2.3421674,5,0
129,-4.6,1,1234.551,3.9262054,1.9403781,5,0
130,-4.85,1,1152.49,5.5478644,2.8767235,3,0
131,-4.8,1,1276.632,4.76493,2.7365446,5,0
132,-4.3,1,1244.587,2.912532,3.1323366,5,0
133,-4.39,1,1242.615,3.454409,4.1367383,2,0
134,-4.49,1,1224.597,3.8200617,3.6384652,3,0
135,-4.24,1,1412.827,5.372709,2.6356363,3,0
136,-4.7,1,1356.719,2.801248,5.120603,2,0
137,-4.26,1,1129.455,2.2849221,5.0661497,2,0
138,-4.27,1,1219.58,0.87640977,3.8660126,6,0
139,-4.33,1,1129.455,4.3001924,1.5097641,5,0
140,-4.64,1,1101.401,3.0569782,0.5670934,5,0
141,-4.77,1,1117.4,4.58989,1.8392589,1,0
142,-4.68,1,1111.437,3.070728,2.7761314,5,0
143,-4.21,1,1384.773,2.1489327,1.5028622,3,0
144,-4.41,1,1412.827,2.305541,1.8386558,5,0
145,-4.52,1,1398.8,3.933322,1.3458549,5,0
146,-4.89,1,1396.784,3.0061917,3.0126987,5,0
147,-5.28,1,1096.382,3.923906,1.0450895,5,0
148,-4.46,1,1214.561,2.5029151,3.2147696,3,0
149,-4.49,1,1384.773,4.57371,0.92438996,5,0
150,-4.51,1,1210.57,2.674622,5.4289746,2,0
151,-4.64,1,1327.721,2.186766,2.636837,5,0
152,-4.21,1,1228.588,2.214512,0.29706123,3,0
153,-5.4,1,1110.409,5.785735,1.5863456,1,0
154,-4.7,1,1237.596,2.5777917,3.827204,3,0
155,-4.19,1,1210.57,2.0265725,4.716752,2,0
156,-4.54,1,1214.561,3.215144,4.17056,2,0
157,-4.59,1,1311.678,6.2467923,1.9776895,1,0
158,-4.54,1,1256.642,3.409155,4.5020766,2,0
159,-4.51,1,1083.383,5.644946,2.8632436,1,0
160,-4.77,1,1399.828,1.8212305,4.825956,2,0
161,-4.48,1,1087.374,5.7262864,2.854906,1,0
162,-4.57,1,1313.694,3.5807254,1.8116603,5,0
163,-4.21,1,1125.464,4.299244,5.35482,2,-1
164,-4.59,1,1087.374,5.7577224,3.5672526,1,0
165,-5.03,1,1383.829,4.8051248,3.9540064,2,0
166,-4.26,1,1125.464,2.6110876,0.5817659,3,0
167,-4.62,1,1341.748,5.9517794,2.9748569,1,0
168,-4.57,1,1087.374,5.1081696,1.2747049,1,0
169,-4.31,1,1355.775,4.870288,3.8450623,2,0
170,-4.41,1,1355.775,1.4942383,2.1748004,5,0
171,-4.43,1,1097.41,5.1764503,1.6249489,1,0
172,-4.59,1,1073.347,6.1410904,4.9258857,4,-1
173,-4.46,1,1311.678,2.7594824,1.5590154,5,0
174,-4.64,1,1083.383,3.7947228,2.985403,3,0
175,-4.52,1,1297.651,5.251451,4.382455,2,0
176,-4.25,1,1313.694,2.250563,5.226169,2,0
177,-4.26,1,1355.775,4.859981,3.8507442,2,0
178,-5.02,1,1209.542,4.0194035,3.7504952,3,0
179,-4.64,1,1371.774,2.4017937,4.731055,2,0
180,-4.44,1,1214.561,3.619173,1.3072338,5,0
181,-4.37,1,1196.543,2.7600064,5.1667347,2,0
182,-4.3,1,1258.614,3.1178575,0.04385229,1,0
183,-4.15,1,1242.615,2.508185,5.399191,2,0
184,-4.24,1,1228.588,7.064221,2.4152467,1,0
185,-4.66,1,1214.561,5.2247815,3.8296688,3,0
186,-4.32,1,1200.534,5.705073,3.3665864,1,0
187,-4.6,1,1117.4,2.844647,2.9788847,5,0
188,-4.64,1,1441.825,3.7497094,2.2628677,5,0
189,-6.0,1,1574.031,1.8021537,1.9750344,3,0
190,-4.77,1,1441.825,2.88704,0.37804604,3,0
191,-4.64,1,1545.977,4.2686424,3.5800943,5,0
192,-4.74,1,1455.852,3.4633334,0.65177804,3,0
193,-4.59,1,1543.961,2.7321234,-0.016243506,3,0
194,-4.54,1,1545.977,3.4850218,4.8755474,2,0
195,-5.89,1,1588.058,1.6878847,0.61977386,3,0
196,-4.34,1,1529.934,3.1040213,2.997242,5,0
197,-4.43,1,1545.977,1.7603021,0.86392045,3,0
198,-4.37,1,1418.79,3.1943314,0.96745646,5,0
199,-4.55,1,1384.773,2.3098333,3.3543532,3,0
200,-5.85,1,1488.925,3.6905093,1.3212198,5,0
201,-6.22,0,1516.979,2.9459298,2.2894962,5,0
202,-4.47,1,1432.817,3.5511067,2.247768,5,0
203,-6.19,0,1502.952,2.142176,2.071788,5,0
204,-4.28,1,1432.817,2.0287454,2.8788521,3,0
205,-4.66,1,1398.8,2.0735886,4.496026,3,0
206,-5.1,1,1342.692,2.7942178,0.7713139,3,0
207,-4.54,1,1257.586,2.5063064,0.6920402,3,0
208,-4.57,1,1313.694,2.4752846,5.3918586,2,0
209,-4.44,1,1285.64,3.8883786,1.4308149,5,0
210,-4.23,1,1327.721,1.7737557,0.80311555,3,0
211,-4.66,1,1291.603,2.309569,5.0845857,2,0
212,-4.57,1,1327.721,2.4751332,3.1202276,5,0
213,-4.26,1,1313.694,3.889971,2.9229856,5,0
214,-4.96,1,1560.004,2.285292,0.53378,5,0
215,-4.66,1,1560.004,1.7951832,3.00357,3,0
216,-6.92,0,1608.048,2.651952,1.8156217,5,0
217,-5.05,1,1574.031,4.4984736,3.6299431,5,0
218,-6.8,0,1664.156,1.5898241,2.2356796,5,0
219,-4.57,1,1474.898,2.1467013,0.7302112,5,0
220,-4.38,1,1438.78,2.971943,0.878513,5,0
221,-5.74,1,1502.952,1.540015,2.9456336,5,0
222,-5.49,1,1488.925,4.775354,4.317119,2,0
223,-4.54,1,1432.817,2.2152476,0.8637191,5,0
224,-4.26,1,1452.807,4.5816584,1.8094821,3,0
225,-4.47,1,1432.817,2.8974948,1.1814634,5,0
